file,domain,status,reason,recommended_weight,n_sheets,n_samples,n_features_total,saturation_ratio_max,phase_levels_min,phase_step_median_max,phase_coverage_min,effective_cycles_min,cross_sheet_phase_mae_max
2026_1_26_unpr_data_8b876032__Sub_10_Seg_1_Aligned.xlsx,2026_1_26_unpr_data_8b876032,KEEP,-,1.0,2,172,100,0.07965116279069767,81.0,0.010000000000000009,0.8749999999999999,7.42885375494071,0.0
2026_1_26_unpr_data_8b876032__Sub_11_Seg_1_Aligned.xlsx,2026_1_26_unpr_data_8b876032,WARN,high_saturation,0.8449382716049383,2,162,100,0.15753086419753087,56.0,0.017315999999999998,0.8691605495953317,7.448051948051949,0.0
2026_1_26_unpr_data_8b876032__Sub_12_Seg_1_Aligned.xlsx,2026_1_26_unpr_data_8b876032,WARN,high_saturation,0.8992513368983958,2,187,100,0.13037433155080214,73.0,0.011363999999999999,0.8738939393939392,8.154545454545454,0.0
2026_1_26_unpr_data_8b876032__Sub_13_Seg_1_Aligned.xlsx,2026_1_26_unpr_data_8b876032,WARN,high_saturation,0.8771929824561403,2,171,100,0.14140350877192984,26.0,0.04347800000000002,0.8695652173913049,7.403726708074534,0.0
2026_1_26_unpr_data_8b876032__Sub_15_Seg_1_Aligned.xlsx,2026_1_26_unpr_data_8b876032,WARN,coarse_phase_levels;high_saturation,0.7421590909090909,2,132,100,0.1559090909090909,21.0,0.047618999999999995,0.8571428571428575,6.238095238095237,0.0
2026_1_26_unpr_data_8b876032__Sub_16_Seg_1_Aligned.xlsx,2026_1_26_unpr_data_8b876032,WARN,high_saturation,0.8597894736842105,2,190,100,0.15010526315789474,61.0,0.014493000000000006,0.8695652173913047,8.228260869565217,0.0
2026_1_26_unpr_data_8b876032__Sub_17_Seg_1_Aligned.xlsx,2026_1_26_unpr_data_8b876032,WARN,high_saturation,0.855632183908046,2,174,100,0.152183908045977,44.0,0.022726999999999997,0.8649621212121225,7.772727272727273,0.0
2026_1_26_unpr_data_8b876032__Sub_18_Seg_1_Aligned.xlsx,2026_1_26_unpr_data_8b876032,WARN,coarse_phase_levels;high_saturation,0.7082758620689655,2,145,100,0.1550344827586207,20.0,0.05555500000000002,0.9233333333333325,7.98888888888889,0.0
2026_1_26_unpr_data_8b876032__Sub_19_Seg_1_Aligned.xlsx,2026_1_26_unpr_data_8b876032,WARN,coarse_phase_levels;high_saturation,0.7319463087248321,2,149,100,0.16174496644295303,21.0,0.047618999999999995,0.8571428571428575,7.047619047619047,0.0
2026_1_26_unpr_data_8b876032__Sub_21_Seg_1_Aligned.xlsx,2026_1_26_unpr_data_8b876032,WARN,coarse_phase_levels;high_saturation,0.729645390070922,2,141,100,0.12397163120567375,18.0,0.05555599999999994,0.8333333333333338,7.777777777777778,0.0
