name,subject,domain,n_samples,quality,quality_source,saturation_ratio,phase_coverage,effective_cycles
2026_1_26_unpr_data_8b876032__Sub_10_Seg_1_Aligned.csv,10,2026_1_26_unpr_data_8b876032,172,1.0000,external_report,0.0574,0.8756,7.4289
2026_1_26_unpr_data_8b876032__Sub_11_Seg_1_Aligned.csv,11,2026_1_26_unpr_data_8b876032,162,0.8449,external_report,0.1222,0.8680,7.4481
2026_1_26_unpr_data_8b876032__Sub_12_Seg_1_Aligned.csv,12,2026_1_26_unpr_data_8b876032,187,0.8993,external_report,0.1054,0.9007,8.1545
2026_1_26_unpr_data_8b876032__Sub_13_Seg_1_Aligned.csv,13,2026_1_26_unpr_data_8b876032,171,0.8772,external_report,0.1119,0.8761,7.4037
2026_1_26_unpr_data_8b876032__Sub_15_Seg_1_Aligned.csv,15,2026_1_26_unpr_data_8b876032,132,0.7422,external_report,0.1234,0.8571,6.2381
2026_1_26_unpr_data_8b876032__Sub_16_Seg_1_Aligned.csv,16,2026_1_26_unpr_data_8b876032,190,0.8598,external_report,0.1172,0.8725,8.2283
2026_1_26_unpr_data_8b876032__Sub_17_Seg_1_Aligned.csv,17,2026_1_26_unpr_data_8b876032,174,0.8556,external_report,0.1167,0.9076,7.7727
2026_1_26_unpr_data_8b876032__Sub_18_Seg_1_Aligned.csv,18,2026_1_26_unpr_data_8b876032,145,0.7083,external_report,0.1199,0.9169,7.9889
2026_1_26_unpr_data_8b876032__Sub_19_Seg_1_Aligned.csv,19,2026_1_26_unpr_data_8b876032,149,0.7319,external_report,0.1263,0.9048,7.0476
2026_1_26_unpr_data_8b876032__Sub_21_Seg_1_Aligned.csv,21,2026_1_26_unpr_data_8b876032,141,0.7296,external_report,0.1096,0.8333,7.7778
2026_1_26_unpr_data_8b876032__Sub_22_Seg_1_Aligned.csv,22,2026_1_26_unpr_data_8b876032,173,0.8978,external_report,0.1131,0.8800,6.9235
2026_1_26_unpr_data_8b876032__Sub_24_Seg_1_Aligned.csv,24,2026_1_26_unpr_data_8b876032,174,0.8651,external_report,0.1191,0.8950,7.0567
2026_1_26_unpr_data_8b876032__Sub_26_Seg_1_Aligned.csv,26,2026_1_26_unpr_data_8b876032,156,0.8700,external_report,0.1166,0.8774,7.0415
2026_1_26_unpr_data_8b876032__Sub_28_Seg_1_Aligned.csv,28,2026_1_26_unpr_data_8b876032,144,0.8528,external_report,0.1228,0.8772,5.9257
2026_1_26_unpr_data_8b876032__Sub_30_Seg_1_Aligned.csv,30,2026_1_26_unpr_data_8b876032,173,0.8668,external_report,0.1172,0.8796,8.1234
2026_1_26_unpr_data_8b876032__Sub_8_Seg_1_Aligned.csv,8,2026_1_26_unpr_data_8b876032,150,1.0000,external_report,0.0581,0.8804,5.9617
2026_1_26_unpr_data_8b876032__Sub_9_Seg_1_Aligned.csv,9,2026_1_26_unpr_data_8b876032,175,1.0000,external_report,0.0578,0.8918,6.6481
raw_data_a4ef56fc__Sub_18_Seg_1_Aligned.csv,18,raw_data_a4ef56fc,200,0.8200,external_report,0.0915,0.8963,8.9762
raw_data_a4ef56fc__Sub_19_Seg_1_Aligned.csv,19,raw_data_a4ef56fc,200,0.8200,external_report,0.0964,0.8875,8.6933
raw_data_a4ef56fc__Sub_20_Seg_1_Aligned.csv,20,raw_data_a4ef56fc,159,0.8551,external_report,0.0829,0.9068,7.0870
raw_data_a4ef56fc__Sub_21_Seg_1_Aligned.csv,21,raw_data_a4ef56fc,198,0.9158,external_report,0.0677,0.9046,9.1905
raw_data_a4ef56fc__Sub_23_Seg_1_Aligned.csv,23,raw_data_a4ef56fc,195,0.8808,external_report,0.0758,0.8944,9.2749
raw_data_a4ef56fc__Sub_25_Seg_1_Aligned.csv,25,raw_data_a4ef56fc,160,0.8740,external_report,0.0772,0.8853,7.4905
